post_slug,image_position,image_path,current_alt,status,proposed_alt,confidence,reasoning
8-designers-developers-success,1,/blog/assets/8-designers-developers-success/img-1.webp,,missing,Denis Shepovalov design work featured in the article,high,Person name from heading
8-designers-developers-success,2,/blog/assets/8-designers-developers-success/img-2.webp,,missing,Dennis Mueller design work featured in the article,high,Person name from heading
8-designers-developers-success,3,/blog/assets/8-designers-developers-success/img-3.webp,,missing,Jan Losert design work featured in the article,high,Person name from heading
8-designers-developers-success,4,/blog/assets/8-designers-developers-success/img-4.webp,,missing,Jim Raptis design work featured in the article,high,Person name from heading
8-designers-developers-success,5,/blog/assets/8-designers-developers-success/img-5.webp,,missing,Mackenzie Child design work featured in the article,high,Person name from heading
8-designers-developers-success,6,/blog/assets/8-designers-developers-success/img-6.webp,,missing,Tony Dinh design work featured in the article,high,Person name from heading
8-designers-developers-success,7,/blog/assets/8-designers-developers-success/img-7.webp,,missing,Dan Rowden design work featured in the article,high,Person name from heading
8-designers-developers-success,8,/blog/assets/8-designers-developers-success/img-8.webp,,missing,Gal Shir design work featured in the article,high,Person name from heading
accordion-ui-design,1,/blog/assets/accordion-ui-design/img-1.webp,Accordion UI design tips,duplicate,Accordion example illustrating what is accordion?,medium,Generic heading-based alt
accordion-ui-design,2,/blog/assets/accordion-ui-design/img-2.webp,Accordion UI design tips,duplicate,Accordion example illustrating states,medium,Generic heading-based alt
accordion-ui-design,3,/blog/assets/accordion-ui-design/img-3.webp,Accordion UI design tips,duplicate,Accordion example illustrating chevrons placement,medium,Generic heading-based alt
accordion-ui-design,4,/blog/assets/accordion-ui-design/img-4.webp,Accordion UI design tips,duplicate,Accordion example illustrating chevrons placement,medium,Generic heading-based alt
accordion-ui-design,5,/blog/assets/accordion-ui-design/img-5.webp,Accordion UI design tips,duplicate,Accordion example illustrating additional icon,medium,Generic heading-based alt
accordion-ui-design,6,/blog/assets/accordion-ui-design/img-6.webp,Accordion UI design tips,duplicate,Accordion example illustrating additional icon,medium,Generic heading-based alt
accordion-ui-design,7,/blog/assets/accordion-ui-design/img-7.webp,Accordion UI design tips,duplicate,Accordion expanded item shown in example,high,State or variant from heading
accordion-ui-design,8,/blog/assets/accordion-ui-design/img-8.webp,Accordion UI design tips,duplicate,Accordion expanded item shown in example,high,State or variant from heading
accordion-ui-design,9,/blog/assets/accordion-ui-design/img-9.webp,Accordion UI design tips,duplicate,Accordion example illustrating contained accordion,medium,Generic heading-based alt
accordion-ui-design,10,/blog/assets/accordion-ui-design/img-10.webp,Accordion UI design tips,duplicate,Accordion example illustrating separated accordion,medium,Generic heading-based alt
